timestamp,question,pdf_loading_time,chunking_time,embedding_time,generation_time,total_query,cpu_usage,ram_usage,gpu_utilization,gpu_memory_used,gpu_temperature,retrieved_chunks,context_length,input_tokens,output_tokens,embedding_model,llm
2026-07-17 23:10:28,What is self-attention?,1.213,0.002,6.073,165.207,165.207,1.7,16.0,0,0,0,4,2178,547,288,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-17 23:18:04,What is self-attention?,1.211,0.002,6.063,222.232,222.232,0.8,16.5,0,0,0,4,2178,547,263,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-17 23:56:55,what is transformer,1.256,0.002,6.637,80.568,80.568,0.4,17.3,0,0,0,4,3808,955,436,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 00:00:38,what is multi-head attention,1.256,0.002,6.637,165.251,165.251,0.8,18.3,0,0,0,4,2939,739,257,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 00:02:45,who is elon musk?,1.256,0.002,6.637,71.143,71.143,0.4,19.1,0,0,0,4,2976,749,11,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 00:06:39,give summarry of full paper,1.256,0.002,6.637,197.768,197.768,0.8,19.6,0,0,0,4,3757,945,202,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 00:27:59,what is transformer?,1.18,0.002,6.678,68.256,68.256,0.0,17.3,0,0,0,4,3532,886,267,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 00:31:57,What is Multi-Head Attention?,1.18,0.002,6.678,158.102,158.102,0.8,18.1,0,0,0,4,2939,739,365,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 00:35:17,"""Who is Elon Musk?",1.18,0.002,6.678,136.11,136.11,0.8,19.0,0,0,0,4,2976,749,11,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 00:42:42,Summarize the entire paper.,1.18,0.002,6.678,406.017,406.017,0.8,20.3,0,0,0,4,3146,791,561,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 00:51:12,who is elon musk,1.169,0.002,6.136,28.68,28.68,0.4,17.6,0,0,0,4,3641,915,11,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 00:59:01,Summarize the entire paper.,1.169,0.002,6.136,184.969,184.969,8.7,19.5,0,0,0,15,11716,2934,409,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
2026-07-18 01:07:46,Summarize the entire paper.,1.169,0.002,6.136,709.163,709.163,0.8,19.9,0,0,0,15,13016,3259,577,sentence-transformers/all-MiniLM-L6-v2,Qwen3.5:9B (Ollama)
